ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPWEE1,,2011-08-21,80 and over,,,365,Number,Registered deaths,0
CPWEE1,,2011-08-21,Total,,,689,Number,Registered deaths,0
CPWEE1,,2011-08-21,Under 30,,,18,Number,Registered deaths,0
CPWEE1,,2011-08-28,30 to 59,,,84,Number,Registered deaths,0
CPWEE1,,2011-08-28,60 to 79,,,195,Number,Registered deaths,0
CPWEE1,,2011-08-28,80 and over,,,332,Number,Registered deaths,0
CPWEE1,,2011-08-28,Total,,,639,Number,Registered deaths,0
CPWEE1,,2011-08-28,Under 30,,,28,Number,Registered deaths,0
CPWEE1,,2011-09-04,30 to 59,,,66,Number,Registered deaths,0
CPWEE1,,2011-09-04,60 to 79,,,227,Number,Registered deaths,0
CPWEE1,,2011-09-04,80 and over,,,316,Number,Registered deaths,0
CPWEE1,,2011-09-04,Total,,,624,Number,Registered deaths,0
CPWEE1,,2011-09-04,Under 30,,,15,Number,Registered deaths,0
CPWEE1,,2011-09-11,30 to 59,,,75,Number,Registered deaths,0
CPWEE1,,2011-09-11,60 to 79,,,218,Number,Registered deaths,0
CPWEE1,,2011-09-11,80 and over,,,377,Number,Registered deaths,0
CPWEE1,,2011-09-11,Total,,,684,Number,Registered deaths,0
CPWEE1,,2011-09-11,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2011-09-18,30 to 59,,,72,Number,Registered deaths,0
CPWEE1,,2011-09-18,60 to 79,,,222,Number,Registered deaths,0
CPWEE1,,2011-09-18,80 and over,,,326,Number,Registered deaths,0
CPWEE1,,2011-09-18,Total,,,643,Number,Registered deaths,0
CPWEE1,,2011-09-18,Under 30,,,23,Number,Registered deaths,0
CPWEE1,,2011-09-25,30 to 59,,,66,Number,Registered deaths,0
CPWEE1,,2011-09-25,60 to 79,,,214,Number,Registered deaths,0
CPWEE1,,2011-09-25,80 and over,,,323,Number,Registered deaths,0
CPWEE1,,2011-09-25,Total,,,622,Number,Registered deaths,0
CPWEE1,,2011-09-25,Under 30,,,19,Number,Registered deaths,0
CPWEE1,,2011-10-02,30 to 59,,,70,Number,Registered deaths,0
CPWEE1,,2011-10-02,60 to 79,,,190,Number,Registered deaths,0
CPWEE1,,2011-10-02,80 and over,,,303,Number,Registered deaths,0
CPWEE1,,2011-10-02,Total,,,582,Number,Registered deaths,0
CPWEE1,,2011-10-02,Under 30,,,19,Number,Registered deaths,0
CPWEE1,,2011-10-09,30 to 59,,,69,Number,Registered deaths,0
CPWEE1,,2011-10-09,60 to 79,,,240,Number,Registered deaths,0
CPWEE1,,2011-10-09,80 and over,,,328,Number,Registered deaths,0
CPWEE1,,2011-10-09,Total,,,651,Number,Registered deaths,0
